Date,Time,Year,Month,Hour,Holiday,Working Day,Weekday,Temperature,Station ID,Station Location,User ID,User Age,User Gender,Trip Duration,Trip Start Time,Trip End Time,Season,Weather Conditions,Rider Type,Bike Type
2022-01-01,08:00,2022,January,8,Yes,No,Saturday,21.8,ST001,Banjara Hills,U0001,49,Male,10,08:00,08:10,Winter,Cold,Casual,Electric Bike
2022-01-01,09:00,2022,January,9,Yes,No,Saturday,16.3,ST008,Shamshabad,U0002,34,Female,52,09:00,09:52,Winter,Cold,Subscriber,Premium Bike
2022-01-01,10:00,2022,January,10,Yes,No,Saturday,20.0,ST010,Secunderabad,U0003,20,Male,50,10:00,10:50,Winter,Cold,Subscriber,Standard Bike
2022-01-01,11:00,2022,January,11,Yes,No,Saturday,18.2,ST005,Begumpet,U0004,53,Female,36,11:00,11:36,Winter,Cold,Casual,Premium Bike
2022-01-01,12:00,2022,January,12,Yes,No,Saturday,16.8,ST004,Madhapur,U0005,44,Female,26,12:00,12:26,Winter,Cold,Subscriber,Premium Bike
2022-01-01,13:00,2022,January,13,Yes,No,Saturday,22.6,ST010,Secunderabad,U0006,51,Male,13,13:00,13:13,Winter,Cold,Subscriber,Standard Bike
2022-01-01,14:00,2022,January,14,Yes,No,Saturday,19.2,ST006,Hitech City,U0007,42,Male,44,14:00,14:44,Winter,Cold,Casual,Premium Bike
2022-01-01,15:00,2022,January,15,Yes,No,Saturday,16.6,ST006,Hitech City,U0008,65,Male,54,15:00,15:54,Winter,Cold,Casual,Premium Bike
2022-01-01,16:00,2022,January,16,Yes,No,Saturday,15.8,ST008,Shamshabad,U0009,38,Female,49,16:00,16:49,Winter,Cold,Casual,Standard Bike
2022-01-01,17:00,2022,January,17,Yes,No,Saturday,24.8,ST004,Madhapur,U0010,55,Male,36,17:00,17:36,Winter,Cold,Casual,Premium Bike
2022-01-01,18:00,2022,January,18,Yes,No,Saturday,22.8,ST004,Madhapur,U0011,34,Male,56,18:00,18:56,Winter,Cold,Subscriber,Standard Bike
2022-01-01,19:00,2022,January,19,Yes,No,Saturday,21.0,ST002,Gachibowli,U0012,22,Male,40,19:00,19:40,Winter,Cold,Subscriber,Electric Bike
2022-01-01,20:00,2022,January,20,Yes,No,Saturday,24.0,ST003,Jubilee Hills,U0013,19,Female,60,20:00,21:00,Winter,Cold,Subscriber,Premium Bike
2022-01-02,08:00,2022,January,8,No,Yes,Sunday,23.8,ST002,Gachibowli,U0014,41,Male,42,08:00,08:42,Winter,Cold,Subscriber,Premium Bike
2022-01-02,09:00,2022,January,9,No,Yes,Sunday,21.3,ST004,Madhapur,U0015,22,Male,11,09:00,09:11,Winter,Cold,Subscriber,Electric Bike
2022-01-02,10:00,2022,January,10,No,Yes,Sunday,17.3,ST005,Begumpet,U0016,40,Male,12,10:00,10:12,Winter,Cold,Subscriber,Electric Bike
2022-01-02,11:00,2022,January,11,No,Yes,Sunday,22.7,ST003,Jubilee Hills,U0017,41,Female,14,11:00,11:14,Winter,Cold,Casual,Standard Bike
2022-01-02,12:00,2022,January,12,No,Yes,Sunday,16.2,ST002,Gachibowli,U0018,42,Male,21,12:00,12:21,Winter,Cold,Subscriber,Standard Bike
2022-01-02,13:00,2022,January,13,No,Yes,Sunday,20.7,ST005,Begumpet,U0019,44,Female,30,13:00,13:30,Winter,Cold,Casual,Standard Bike
2022-01-02,14:00,2022,January,14,No,Yes,Sunday,20.5,ST009,Kukatpally,U0020,43,Female,29,14:00,14:29,Winter,Cold,Subscriber,Standard Bike
2022-01-02,15:00,2022,January,15,No,Yes,Sunday,24.8,ST002,Gachibowli,U0021,63,Male,20,15:00,15:20,Winter,Cold,Casual,Electric Bike
